overview,Ebit_K,TNLoad_ton,TNLoad_red_FSM_ton,TNLoad_red_EoFM_ton,TPLoad_ton,TPLoad_red_FSM_ton,TPLoad_red_EoFM_ton,Ebit_red,TN_red,TN_FSM_red,TN_EoFM_red,TP_red,TP_FSM_red,TP_EoFM_red
overview_phosphoruscap_P0.6.csv,15493159.91,260955.3305,112377.7879,1374.437283,5646.34774,4832.797694,290.5884717,34.57569162,30.35760938,98.7916886,1.208272405,47.57205854,94.32826692,5.671809303
overview_phosphoruscap_P0.8.csv,20313748.62,305093.4901,69303.1107,310.9548053,7213.771581,3248.175652,307.7866722,14.21937412,18.57824871,99.55325269,0.44668359,33.01808327,91.34459038,8.655519439
overview_phosphoruscap_P1.0.csv,22420671.09,339335.9143,35371.64138,0,8613.57392,2032.984349,123.1756369,5.322290073,9.439810061,99.99987465,0,20.02052122,94.28743903,5.712742136
overview_phosphoruscap_P1.2.csv,23319660.9,360489.0147,14142.42172,76.11921941,10099.47743,651.5988562,18.65761913,1.526047958,3.794581503,99.46433799,0.535350163,6.223485358,97.2169128,2.783669915
overview_phosphoruscap_P1.4.csv,23422257.18,366069.4103,8638.145374,0,10250.51763,519.2161838,9.09E-05,1.092805738,2.305314788,99.99948669,0,4.821034224,100,0
