overview;Ebit_K;TNLoad_ton;TNLoad_red_FSM_ton;TNLoad_red_EoFM_ton;TPLoad_ton;TPLoad_red_FSM_ton;TPLoad_red_EoFM_ton;Ebit_red;TN_red;TN_FSM_red;TN_EoFM_red;TP_red;TP_FSM_red;TP_EoFM_red
overview_phosphorus_0red.csv;23681045.1265;374707.555661;0;0;10769.7339062;0;0;0;0;0;0;0;0;0
overview_phosphorus_5red.csv;23514070.0724;368633.164981;6074.39058351;9.64571006862e-05;10204.0879235;565.645921901;6.05795728432e-05;0.705100020746753;1.62110173339967;99.9999984120695;1.58793047349273e-06;5.25218160101769;99.9999892901966;1.07098034317393e-05
overview_phosphorus_10red.csv;23282867.3021;365804.36165;8903.19368222;0.000328460698773;9666.45022332;1103.28353891;0.000144012789954;1.68141998071877;2.37603802658701;99.9999963107543;3.68924566148915e-06;10.2442984431106;99.9999869468939;1.30531061215811e-05
overview_phosphorus_15red.csv;22936537.2158;352502.413176;22205.1002057;0.042279165157;9115.69091259;1654.03847271;0.00451597798316;3.14389802782339;5.92599272406696;99.9998095974156;0.000190402584382501;15.3582531194925;99.9997269733608;0.000273026639213419
overview_phosphorus_20red.csv;22532744.2430632;336085.138733383;38622.4168904911;3.16647058384215e-05;8550.9080072401;2218.18739695022;0.638502049634798;4.8490295816877;10.3073493833039;99.9999999180147;8.19853037738221e-08;20.6024208052396;99.9712234272224;0.028776572777639
overview_phosphorus_25red.csv;22015107.8823;327871.371748;46600.759132;235.424773578;8076.26760808;2404.65335096;288.812946552;7.03489746884419;12.4993967176293;99.4973442455247;0.502655754475253;25.0095900379619;89.2772763921798;10.7227236078202
overview_phosphorus_30red.csv;21405865.9702;309868.59056;64526.5572085;312.407864019;7543.183463;2915.83007966;310.720360795;9.60759605053912;17.3038851556173;99.5181788239994;0.481821176000555;29.9594258437761;90.3698898706452;9.63011012935483
overview_phosphorus_35red.csv;20654027.1605;304344.596349;68409.5269339;1953.43237749;6987.59904344;3242.7407463;539.394116285;12.7824509004151;18.7780999472714;97.2237774013382;2.77622259866178;35.1181830089848;85.7383690459854;14.2616309540146
overview_phosphorus_40red.csv;19917247.5874;290554.3804;81870.0066529;2283.16857213;6502.37661244;3736.58957312;530.767719408;15.8937138077921;22.4583609243081;97.2868895724675;2.71311042753252;39.623609375375;87.5621448352273;12.4378551647727
overview_phosphorus_45red.csv;18729581.1877;282293.733321;88652.9899602;3760.83234465;5939.49366676;4005.86331206;824.376924948;20.9089755640013;24.6629193737442;95.9304438980524;4.06955610194756;44.8501354026889;82.9330036499666;17.0669963500334
overview_phosphorus_50red.csv;17077211.3298;262233.940343;110107.115806;2366.49942467;5395.19831444;4331.01090447;1043.5246835;27.8865808558004;30.0163723999618;97.8959514906526;2.10404850934736;49.9040704122313;80.5839096900622;19.4160903099378
