farm;EBIT;N_reduction;farmN;NLRedFSM;NLRedEoFM;P_reduction;farmP;PLRedFSM;PLRedEoFM;SOLVER;FEASIBILITY
WA01;0.0;0.8999999999999999;135.94724474482513;1223.5252027034248;0.0;0.6999999999999997;2.9986505627355022;6.996851313049498;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA02;0.0;0.9;52.39602147178638;471.5641932460776;0.0;0.7;4.2806563592028;9.9881981714732;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA03;0.0;0.9;312.0736092609534;2808.6624833485776;0.0;0.6999999999999998;11.703097537596006;27.307227587723997;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA04;-1.0972971470085057e-28;0.9;140.80750463780697;1267.267541740263;0.0;0.7;29.88202100990851;69.7247156897865;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA05;2.3106634597065017e-05;0.8999999999999999;129.3648560227795;1164.2837042050155;0.0;0.7;10.567234255183802;24.656879928762198;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA06;-2656.1048302302734;0.9;769.1828816302876;6922.6459346725915;0.0;0.7030778966556754;28.550386457301844;67.30812659283721;0.29595351105696593;Gams_optimisation_COUENNE.opt;FEASIBLE
WA07;600939.3693482832;0.02599999999999998;15498.692961797056;413.72281006850426;0.0;0.30255831859503973;126.89510397712026;32.422363233540466;22.626209745234167;Gams_optimisation_COUENNE.opt;FEASIBLE
WA08;818446.5090240085;0.22926276597651182;1869.9455771064577;0.0;556.2322362382536;0.3136566895312497;215.6403668279116;0.0;98.54695537478635;Gams_optimisation_COUENNE.opt;FEASIBLE
WA09;0.0;0.8999999999999999;510.636082837749;4595.7247455397355;0.0;0.6999999999999998;19.685044055371513;45.9317694625335;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA10;638862.3961628161;0.0;12322.498713900157;0.0;0.0;0.26943410877910895;89.1643232786755;0.0;32.88397428099818;Gams_optimisation_COUENNE.opt;FEASIBLE
WA11;-4384.578725301845;0.9000000000000001;606.5366569930669;5458.829912937607;0.0;0.7144164594263418;19.171356089936406;46.99132602669792;0.9677836357912798;Gams_optimisation_COUENNE.opt;FEASIBLE
WA12;442595.25716971594;0.20746347895901235;4699.739783197792;9.094947017729282e-13;1230.2579625524436;0.24385088072865618;75.5829241958896;0.0;24.37477233455719;Gams_optimisation_COUENNE.opt;FEASIBLE
WA13;0.0;0.8999999999999999;57.909238321334385;521.1831448920096;0.0;0.7;2.4202705377312004;5.6472979213728;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA14;298601.6119654734;0.5564747940406382;1483.4284102892889;1672.3157899003475;188.8873796110586;0.3063216153688223;108.90474568340333;19.671601330616284;28.41967318243921;Gams_optimisation_COUENNE.opt;FEASIBLE
WA15;3.473054697989844e-05;0.8999999996401407;71.17427642184172;640.5684852353023;0.0;0.6999999990349862;5.997778472374929;13.994816371231071;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA16;1172668.3097460002;0.0051762257141499506;3691.5602142223433;0.0;19.20777267301238;0.21441732639693384;76.15929456886725;0.0;20.786955810565757;Gams_optimisation_COUENNE.opt;FEASIBLE
WA17;121850.87755206256;0.03156871190390855;4680.03767870966;0.0;152.558847483212;0.17355704589196572;43.736612646005014;0.0;9.184901692766486;Gams_optimisation_COUENNE.opt;FEASIBLE
WA18;-789.4438999999999;0.8999999999999999;475.0551611008939;4275.496449908045;0.0;0.7;23.68800750788953;55.27201751840887;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA19;92129.3594767506;0.0;9814.198929726335;0.0;0.0;0.3929707169429886;50.98188908575882;0.0;33.003991840797184;Gams_optimisation_COUENNE.opt;FEASIBLE
WA20;0.0;0.9;3.9456761305222794;35.51108517470052;0.0;0.7;0.32223897381984007;0.75189093891296;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA21;0.0;0.9000000000000004;23.660756016068188;212.9468041446143;0.0;0.7;0.8873865205019997;2.070568547838;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA22;262271.96514135535;0.025999999999999957;5454.6724349278775;145.60727239027165;0.0;0.19927550505656172;78.90837661185995;17.560937377376874;2.0769114730351843;Gams_optimisation_COUENNE.opt;FEASIBLE
WA23;107115.19575303073;0.07493940813120879;2610.331012572404;0.0;211.4636196030507;0.11137801121296044;46.92231056665634;0.0;5.881143724076257;Gams_optimisation_COUENNE.opt;FEASIBLE
WA24;172430.9674979074;0.04790302548431385;3373.7640689887676;0.0;169.74479543645361;0.22039662699539578;203.4076267660603;0.0;57.504054493249775;Gams_optimisation_COUENNE.opt;FEASIBLE
WA25;-902.8709705014667;0.9;206.6179152271872;1859.561237044685;0.0;0.7001524392197596;52.150890331209894;121.74727430449919;0.026512942146906266;Gams_optimisation_COUENNE.opt;FEASIBLE
WA26;0.0;0.8999999999999999;65.86518073533075;592.7866266179768;0.0;0.7;2.5391876048322004;5.9247710779418;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA27;40406.59453168;0.30099999999999993;971.9356007706078;418.5302086294032;0.0;0.0517;93.2752141721119;5.0852352343121225;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA28;38705.8668917481;0.0;2128.6335458750686;0.0;0.0;0.2471441684168583;17.30673413169866;0.0;5.681377809076535;Gams_optimisation_COUENNE.opt;FEASIBLE
WA29;0.0;0.9;41.11477155523589;370.0329439971231;0.0;0.7000000000000001;1.7184492871974002;4.0097150034606;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
