overview;Ebit_K;TNLoad_ton;TNLoad_red_FSM_ton;TNLoad_red_EoFM_ton;TPLoad_ton;TPLoad_red_FSM_ton;TPLoad_red_EoFM_ton;Ebit_red;TN_red;TN_FSM_red;TN_EoFM_red;TP_red;TP_FSM_red;TP_EoFM_red
overview_nitrogen_0red.csv;23681045.1264963;374707.555660799;0;0;10769.73390624;0;0;0;0;0;0;0;0;0
overview_nitrogen_5red.csv;22434778.4531139;328081.030490598;33643.2370652008;12983.2881049999;10019.3075241156;748.672995694101;1.75338643028593;5.26271820658784;12.4434440848076;72.1547165318303;27.8452834681697;6.96791943661291;99.7663479760237;0.233652023976323
overview_nitrogen_10red.csv;21252844.6176159;302441.952097581;54228.2574718788;18037.3460913389;9574.6131525252;1188.88004956523;6.24070414953773;10.2537725675101;19.2858677311102;75.0402055722681;24.9597944277319;11.0970314041122;99.4778181091626;0.52218189083738
overview_nitrogen_15red.csv;20367435.835018;273679.099271835;74616.247388133;26412.2090008312;9243.52846018906;1509.56044387423;16.6450021766775;13.9926649089095;26.9619480212509;73.8566638104981;26.1433361895019;14.171245634645;98.9093865298576;1.09061347014236
overview_nitrogen_20red.csv;18529401.4520307;233997.061386821;113461.471274807;27249.0229991704;8055.56269885618;2711.85030396149;2.32090328429387;21.7542918690757;37.5520835243991;80.6346902981424;19.3653097018576;25.2018409276686;99.9144894294767;0.085510570523258
overview_nitrogen_25red.csv;17460921.7545651;210617.477457464;137059.147817362;27030.9303332415;7560.86508554652;3198.7493407849;10.1194789056114;26.2662536163644;43.7915050615836;83.5267734418213;16.4732265581787;29.7952470193737;99.6846403055333;0.315359694466645
overview_nitrogen_30red.csv;14839563.0978561;175813.708786516;175525.419759548;23368.4270599071;7194.85327628655;3552.7912739691;22.0893549406358;37.3356918219273;53.0797534956381;88.2508044197467;11.7491955802533;33.1937693268553;99.3820953135609;0.617904686439071
overview_nitrogen_35red.csv;13417169.5131741;149405.44691191;203706.528418185;21595.580268562;6106.90553116167;4605.90473763546;56.9236360431003;43.3421563891964;60.1274528215925;90.4148343775211;9.58516562247886;43.2956692864683;98.7792037046778;1.2207962953222
overview_nitrogen_40red.csv;12763551.5959136;142114.599975574;209203.397274563;23389.5583485201;5867.08145307057;4706.70698667733;195.945465092327;46.1022453707811;62.0731960622054;89.9439953863337;10.0560046136663;45.5225031170808;96.0032764504529;3.99672354954712
overview_nitrogen_45red.csv;11004319.2145531;124844.658636131;231989.763346519;17873.133616006;5761.15581044384;4924.93150342835;83.6465909680437;53.5311082945381;66.6821080199551;92.846823664785;7.15317633521502;46.5060524187526;98.3299333784647;1.67006662153532
overview_nitrogen_50red.csv;8659366.74404372;98158.5084525989;260705.183122559;15843.8640393619;5191.0077791456;5512.87264439696;65.8534813751538;63.4333421612591;73.8039687298283;94.2708665236929;5.7291334763071;51.800036803714;98.8195605969806;1.18043940301944
