farm;EBIT;N_reduction;N_KgHa;farmN;NLRedFSM;NLRedEoFM;P_reduction;P_KgHa;farmP;PLRedFSM;PLRedEoFM;SOLVER;FEASIBILITY
WA01;49099.1026348296;0.0;29.065;1359.47244744825;0.0;0.0;0.0;0.21370000000000003;9.995501875785001;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA02;36041.34032717966;0.0;14.9012;523.960214717864;0.0;0.0;0.0;0.4058;14.268854530676;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA03;186981.1919490453;0.19200000021528824;36.455909590286474;2521.5547621566434;599.1813304528878;0.0;0.06250000005025381;0.528749999971657;36.57217980302709;2.438145322292918;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA04;-1.0972971470085057e-28;0.9;1.5966999999999998;140.80750463780697;1267.267541740263;0.0;0.7;0.3388500000000001;29.88202100990851;69.7247156897865;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA05;40709.979205613265;0.0;14.903499999999996;1293.6485602277949;0.0;0.0;0.0;0.40579999999999994;35.224114183946;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA06;491007.36993420246;0.1296116932838833;39.26922220426347;6694.877858972096;807.6420257118025;189.30893161898186;0.02500000000000004;0.5499000001257934;93.7506048971661;2.403861664029904;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA07;647533.0075079955;0.14670811469040287;39.9926808809474;13577.935082230892;1607.1539929584178;727.3264956026869;0.07547078369935248;0.49545520703156953;168.21224506689168;9.260933157055012;4.470498731948195;Gams_optimisation_COUENNE.opt;FEASIBLE
WA08;-112200.18134461672;0.9019106842166702;0.7391226123135021;237.98212167967796;2183.560032010241;4.635659654793207;0.7845444790728299;0.21024149732726224;67.69339317389493;219.9311255418886;26.562803486914476;Gams_optimisation_COUENNE.opt;FEASIBLE
WA09;281411.02053106466;0.0;18.599199999661277;5106.360828377485;0.0;0.0;0.0;0.23899999999564733;65.61681351790499;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA10;622791.8463340186;0.31260479097629296;36.9428182006642;8470.426579135761;1293.862364959512;2558.209769804886;0.09968450301463723;0.4792379390850211;109.88197367365504;3.051207438991838;9.1151164470268;Gams_optimisation_COUENNE.opt;FEASIBLE
WA11;9.027439669591045e-05;0.9;8.652100000740518;606.5366569930675;5458.829912937607;0.0;0.7000000000000001;0.28728000002458787;20.13913972572768;46.99132602669792;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA12;463326.81573115557;0.1432650608144346;32.61495672719889;5080.436258075868;9.094947017729282e-13;849.5614876743662;0.12320111614322342;0.5626418437853415;87.64279675079014;0.0;12.314899779656653;Gams_optimisation_COUENNE.opt;FEASIBLE
WA13;28982.505016678675;0.0;20.9742;579.0923832133441;0.0;0.0;0.0;0.2921999999999999;8.067568459103999;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA14;-10408.468201855381;0.9018351490611161;1.8963878557314813;328.3252604766187;3010.1684218206256;6.137897503450706;0.7078414494651636;0.26492937353470686;45.8677297003353;109.89721413752113;1.231076358602347;Gams_optimisation_COUENNE.opt;FEASIBLE
WA15;3.473054672777232e-05;0.8999999996401407;3.1210800112315;71.17427642184172;640.5684852353023;0.0;0.6999999990349862;0.26301000084602755;5.997778472374929;13.994816371231071;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA16;1309767.3604691704;0.0;7.100300000624954;3710.767986895354;0.0;0.0;0.0;0.18550000001632733;96.94625037943301;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA17;133852.30825862946;0.17768421433559206;39.219940241306475;3973.9204092353802;478.4270560930945;380.24906086439785;0.019299999999999984;0.5122196100252763;51.900129112033206;1.021385226738289;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA18;243557.10407249996;0.0;19.992499992259347;4750.551611008941;0.0;0.0;0.0;0.3322999998713407;78.9600250262984;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA19;0.0;0.9;10.388440000439847;981.4198929726333;8832.779036753702;0.0;0.7;0.2667000000112923;25.19576427796681;58.790116648589205;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA20;2719.820062642603;0.0;14.869799999999998;39.4567613052228;0.0;0.0;0.0;0.4048;1.0741299127328001;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA21;14177.835288002483;0.19199999999999992;36.452515999999996;191.17890860983144;45.428651550851015;0.0;0.06249999999999998;0.5287499999999999;2.7730828765687496;0.18487219177124992;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA22;266824.07922267425;0.025999999999999957;39.67588999711407;5454.6724349278775;145.60727239027165;0.0;0.17820000000000003;0.5890662399571528;80.98528808489513;17.560937377376874;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA23;115637.04501448412;0.04163529822477183;31.02581134479286;2704.308371135769;0.0;117.48626103968553;0.06094514700261985;0.568879429926233;49.58534000673777;0.0;3.218114283994818;Gams_optimisation_COUENNE.opt;FEASIBLE
WA24;-3789.4439000000007;0.9;1.586969999715708;354.35088644252215;3189.1579779826993;0.0;0.7;0.35054999993720215;78.27350437779302;182.63817688151698;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA25;-902.8709705015159;0.9000000000000001;0.987799999641091;206.61791522718713;1859.561237044685;0.0;0.7001524392197596;0.2493232466981804;52.15089033120989;121.74727430449919;0.026512942146917472;Gams_optimisation_COUENNE.opt;FEASIBLE
WA26;36299.40442366104;0.0;18.5985999978993;658.6518073533076;0.0;0.0;0.0;0.23899999997300503;8.463958682773999;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA27;0.0;0.9;1.5967100000366705;139.0465809400011;1251.41922846001;0.0;0.7000000000000001;0.3388500000077823;29.508134821927207;68.85231458449681;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA28;51956.63584107241;0.15400000000305766;34.02967320180617;1800.8239798037998;327.8095660647607;6.508315131999744e-09;0.017900000000000065;0.4266242400241854;22.576624737035324;0.41148720373987757;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA29;20578.26359166387;0.0;20.9731;411.147715552359;0.0;0.0;0.0;0.2922;5.728164290658;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA30;0.0;0.9;1.9319199996108753;719.3689611849858;6474.320650664875;0.0;0.7;0.2720699999452002;101.30787675969978;236.38504577263276;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA31;0.0;0.9000000000000002;0.5232899999999987;10.596591934631073;95.36932741167993;0.0;0.7000000000000001;0.21981;4.4511396608978995;10.3859925420951;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA32;0.0;0.9;3.030769999999999;378.08186980291794;3402.7368282262623;0.0;0.7;0.32121000000000005;40.07023871801401;93.49722367536602;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA33;0.0;0.8999999999999999;2.4453600002701843;686.1039598706067;6174.935638835455;0.0;0.6999999999999998;0.34287000003788315;96.20034053097902;224.46746123895088;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA34;181890.2526713665;0.22159444464028483;36.05963734461303;5078.076955541092;645.845363174788;799.7682184031947;0.01930000000000001;0.5012357698967803;70.58622880981312;1.389124315314973;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA35;-154635.8303874621;0.9047185376955439;1.840675873492919;1082.0964367938718;10221.157080929253;53.58768330937784;0.7649053923487752;0.21318379024786646;125.32647552535865;373.1626758445303;34.600385550868666;Gams_optimisation_COUENNE.opt;FEASIBLE
WA36;327738.54053603526;0.051427069913416196;39.95749639647706;9355.449537599057;0.0;507.2075558783115;0.0;0.572100000058643;133.9486495325304;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA37;15010.801729952931;0.19199999999999992;36.4570408;202.4360455384624;48.10361478141678;0.0;0.06249999999999998;0.52875;2.93600513727;0.19573367581799994;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA38;0.0;0.9;5.482189999999998;497.34382895989876;4476.094460639089;0.0;0.7;0.7966799999999999;72.2747445192108;168.6410705448252;0.0;Gams_optimisation_COUENNE.opt;INFEASIBLE
WA39;-789.4439;0.8999999999999999;1.8839400004165965;698.605923893209;6287.453315038882;0.0;0.7;0.32193000007118855;119.37864532784526;278.5501724316389;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA40;334456.3866396176;0.13524945343289652;38.50180744085143;9595.031820865048;1098.4764959520362;402.21386451661243;0.019300000000000036;0.47603178007067604;118.63183525963221;2.3346532278075927;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA41;3.253986910897775e-05;0.9;4.617979999943007;374.18776826863274;3367.6899144176955;0.0;0.7;0.13322999999835577;10.795420587882571;25.189314705059328;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA42;49173.86725129259;0.0;32.299600000000005;1549.5573087781604;0.0;0.0;0.0;0.3088;14.81452702048;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
