farm;EBIT;N_reduction;farmN;NLRedFSM;NLRedEoFM;P_reduction;farmP;PLRedFSM;PLRedEoFM;SOLVER;FEASIBILITY
WA01;0.0;0.8999999999999999;135.94724474482513;1223.5252027034248;0.0;0.6999999999999997;2.9986505627355022;6.996851313049498;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA02;0.0;0.9;52.3960214717864;471.5641932460776;0.0;0.6999999999999998;4.280656359202801;9.988198171473197;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA03;112395.2227540123;0.5219976924866311;1491.7190534076105;1629.0170392019206;0.0;0.16249933947928205;32.67117305958347;6.339152065736542;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA04;40918.570920915285;0.30099999999999993;984.2444574182709;423.8305889597989;0.0;0.05169999999999994;94.45706841232078;5.149668287374226;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA05;40275.9709395779;0.30100000028725915;904.2603432276162;389.38821700017877;0.0;0.05170000002421998;33.40302747978287;1.821086704163136;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA06;273481.75740821223;0.5351445691504986;3575.5883984230854;4015.134642110103;101.10577576969087;0.16249999999999998;80.52936574500166;15.625100816194347;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA07;-5626.830299999999;0.9000000000000001;1591.2415771865549;14321.174194679004;0.0;0.7;54.58310308676848;127.36057386912643;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA08;838069.8619009684;0.33407901711177834;1615.6427141241072;465.82614016218463;344.70895905842053;0.062499999999999986;294.5506145650294;19.63670763766862;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA09;244269.77853484327;0.31208157046093;3512.7597217172633;1026.3785265038746;567.2225801563462;0.018200000000000015;64.42258751187912;1.1942260060258718;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA10;621075.7626647278;0.3152137173199857;8438.278087620956;1293.8623649595174;2590.358261319699;0.10312384492784857;109.46220781959845;3.051207438991838;9.53488226894571;Gams_optimisation_COUENNE.opt;FEASIBLE
WA11;170881.892140951;0.31379330785660114;4162.095130589282;1576.9953081819758;326.27613115941745;0.08750000000000006;61.25654999908835;5.8739157533372435;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA12;460187.1898313965;0.27982945508355167;4270.609707910257;0.0;1659.3880378399783;0.0;99.95769653044678;0.0;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA13;0.0;0.9000000000000001;57.90923832133437;521.1831448920098;0.0;0.7;2.4202705377312004;5.6472979213727985;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA14;364267.81720965286;0.5;1672.3157899003472;1672.3157899003475;0.0;0.1253;137.3244188658425;19.671601330616284;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA15;10581.229636815917;0.30100000030248875;497.50819018304946;214.2345714740946;0.0;0.051700000025503845;18.95897768968168;1.0336171539243182;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA16;1061226.3378855893;0.5587720152528224;1637.294680722178;1855.3839934476773;218.0893127254989;0.12529999999999994;84.79888520689003;12.147365172542948;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA17;123102.60706718829;0.3015106595286344;3375.517160344672;1053.5060427100461;403.5733231381547;0.043499999999999976;50.619428465034936;2.3020858737365586;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA18;211168.13211332084;0.30284228020772674;3311.8837288865025;1349.1566575265383;89.51122459589854;0.01849999999999991;77.49926456331191;1.4607604629865136;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA19;118096.09015551498;0.29353807850680214;6933.3578338109555;971.6056940429069;1909.235401872476;0.01930000000000003;82.36495342467349;1.620927501882536;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA20;0.0;0.8999999999999998;3.945676130522284;35.51108517470051;0.0;0.6999999999999998;0.32223897381984024;0.75189093891296;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA21;8522.319595734476;0.522;113.09841375680622;123.50914640387626;0.0;0.1625;2.47728736973475;0.48066769860525005;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA22;266271.53016691457;0.11499428671638162;4956.279536962873;565.6282504391329;78.37191991614424;0.0509;93.53022258624237;5.016002876029646;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA23;92105.33204182511;0.4890000027489641;1441.9370411786465;1379.8575751337971;0.0;0.14490000021262323;45.152233686522706;7.651220526727145;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA24;0.0;0.9;354.35088644252215;3189.1579779826993;0.0;0.7;78.27350437779302;182.63817688151698;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA25;97054.78102879999;0.30099999999999993;1444.2592274380388;621.9199248338334;0.0;0.051699999999999975;164.9327717470809;8.991905830775153;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA26;29955.793635559858;0.3433804540162817;432.48365070568434;187.0571132883394;39.11104335928387;0.018499999999999923;8.307375447142682;0.15658323563131837;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA27;40406.59455485669;0.30099999999999993;971.9356007706078;418.5302086294032;0.0;0.0517;93.2752141721119;5.0852352343121225;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
WA28;44745.176011687865;0.3569095826042775;1368.9038354993347;604.5319270285194;155.1977833472147;0.01849999999999991;22.562831869870863;0.42528007090434067;0.0;Gams_optimisation_COUENNE.opt;FEASIBLE
