overview;Ebit_K;TNLoad_ton;TNLoad_red_FSM_ton;TNLoad_red_EoFM_ton;TPLoad_ton;TPLoad_red_FSM_ton;TPLoad_red_EoFM_ton;Ebit_red;TN_red;TN_FSM_red;TN_EoFM_red;TP_red;TP_FSM_red;TP_EoFM_red
overview_nitrogen_0red.csv;23681045.1265;374707.555661;0;0;10769.7339062;0;0;0;0;0;0;0;0;0
overview_nitrogen_5red.csv;23617547.3215978;356268.463478714;14327.5223553901;4111.56982669494;10650.7143774968;119.019528743134;3.83525437676568e-14;0.268137679578649;4.9209288426968;77.7018858298803;22.2981141701197;1.10512970645125;100;3.22237402320997e-14
overview_nitrogen_10red.csv;23391326.1433244;337354.773014022;24789.6525029486;12563.1301438282;10605.2539721369;162.012457657773;2.46747644528615;1.22342143950126;9.96851600205558;66.3662804920578;33.6337195079422;1.52724232089342;98.4998313266954;1.5001686733046
overview_nitrogen_15red.csv;23112255.6056773;318924.983451033;36693.3194419969;19089.2527677692;10565.1821191684;194.905572293116;9.64621477846469;2.40187676592959;14.8869622101867;65.7791815408126;34.2208184591874;1.89932071500725;95.2842187709223;4.71578122907775
overview_nitrogen_20red.csv;22759282.2703871;300266.275025072;54123.5763309207;20317.7043048062;10329.0762698482;439.075185632594;1.58245075914146;3.89240783584076;19.8665010916608;72.7064014330577;27.2935985669423;4.09162974860589;99.6408888378517;0.35911116214827
overview_nitrogen_25red.csv;22302383.1488737;281578.345529268;71164.3568077017;21964.8532618843;10069.1497667076;699.659507856772;0.924626857703853;5.82179532306005;24.853838339995;76.414646655467;23.585353344533;6.5051202341133;99.8680205828411;0.131979417158895
overview_nitrogen_30red.csv;21763544.8788285;262800.205678982;88589.2793783939;23318.0706034228;9555.56554820073;1211.41552927916;2.75282876007654;8.09719434859644;29.8652504576826;79.1630571117879;20.8369428882121;11.2738937523822;99.7732745428713;0.226725457128704
overview_nitrogen_35red.csv;21020389.2029;241691.800315;108370.865582;24644.8897601;9093.95609299;1665.57265632;10.2051567405;11.2353821775485;35.4985516935613;81.4722025246435;18.5277974753565;15.5600670156323;99.3910197007644;0.608980299235622
overview_nitrogen_40red.csv;20310683.3864;224995.193088;124954.799908;24757.562601;8687.77941299;2076.81342434;5.14106594997;14.2323183883824;39.9544552308002;83.4632476663297;16.5367523336703;19.3315314133383;99.7530654020562;0.246934597943779
overview_nitrogen_45red.csv;19394846.183191;205506.774923078;145420.347568888;23780.4330371481;8108.59396085165;2649.33426159741;11.8056800284635;18.099703456553;45.1554227241148;85.9454353863071;14.0545646136929;24.7094307856238;99.5563675609915;0.443632439008474
overview_nitrogen_50red.csv;18397313.8681;187583.994017;164171.717029;22951.8445057;7393.48775597;3350.83785597;25.4082887925;22.3120695483465;49.9385611037136;87.734390946036;12.265609053964;31.3493924700065;99.2474396799559;0.752560320044063
